"species"	"decimallatitude"	"decimallongitude"	"class"
"1152"	"Rhinolophus philippinensis"	2.65333	113.0515	"Mammalia"
"1153"	"Cynopterus brachyotis"	2.65333	113.0515	"Mammalia"
"1154"	"Tupaia longipes"	0.5	117.15	"Mammalia"
"1155"	"Hipposideros galeritus"	2.65333	113.0515	"Mammalia"
"1156"	"Hipposideros diadema"	2.65333	113.0515	"Mammalia"
"1157"	"Hipposideros cervinus"	2.65333	113.0515	"Mammalia"
"1158"	"Hipposideros cervinus"	2.65333	113.0515	"Mammalia"
"1159"	"Sundasciurus lowii"	6.08	116.72	"Mammalia"
"1160"	"Tupaia tana"	6	116.68	"Mammalia"
"1161"	"Tupaia tana"	6	116.68	"Mammalia"
"1162"	"Tupaia minor"	6	116.68	"Mammalia"
"1163"	"Tupaia minor"	5.97	116.68	"Mammalia"
"1164"	"Macroglossus minimus"	-2.63	115.45	"Mammalia"
"1165"	"Rhinolophus philippinensis"	2.6533	113.0514	"Mammalia"
"1166"	"Rhinolophus philippinensis"	2.65333	113.0515	"Mammalia"
"1167"	"Callosciurus notatus"	-2.63	115.45	"Mammalia"
"1168"	"Tupaia gracilis"	6	116.68	"Mammalia"
"1169"	"Tupaia montana"	5.98	116.53	"Mammalia"
"1170"	"Tupaia montana"	5.98	116.53	"Mammalia"
"1171"	"Rhinolophus borneensis"	2.6533	113.0514	"Mammalia"
"1172"	"Rhinolophus borneensis"	2.65333	113.0515	"Mammalia"
"1173"	"Chrotomys whiteheadi"	6	116.68	"Mammalia"
"1174"	"Chrotomys whiteheadi"	6.12	116.8	"Mammalia"
"1175"	"Chrotomys whiteheadi"	6	116.68	"Mammalia"
"1176"	"Niviventer cremoriventer"	6	116.68	"Mammalia"
"1177"	"Niviventer cremoriventer"	2.65333	113.0515	"Mammalia"
"1178"	"Macaca nemestrina"	4.87088	117.86697	"Mammalia"
"1179"	"Glischropus tylopus"	1.12817	110.21853	"Mammalia"
"1180"	"Balionycteris maculata"	1.61175	110.19589	"Mammalia"
"1181"	"Megaerops ecaudatus"	1.11681	110.21392	"Mammalia"
"1182"	"Dyacopterus spadiceus"	2.15	111.61667	"Mammalia"
"1183"	"Hipposideros cervinus"	5.51667	118.06667	"Mammalia"
"1184"	"Hipposideros cervinus"	5.51667	118.06667	"Mammalia"
"1185"	"Hipposideros cervinus"	5.51667	118.06667	"Mammalia"
"1186"	"Hipposideros cervinus"	5.51667	118.06667	"Mammalia"
"1187"	"Hipposideros cervinus"	5.51667	118.06667	"Mammalia"
"1188"	"Hipposideros cervinus"	5.51667	118.06667	"Mammalia"
"1189"	"Nasalis larvatus"	0	114	"Mammalia"
"1190"	"Callosciurus notatus"	5.86722	117.95639	"Mammalia"
"1191"	"Hipposideros cervinus"	4.56667	118.41667	"Mammalia"
"1192"	"Rhinolophus borneensis"	5.51667	118.06667	"Mammalia"
"1193"	"Rousettus spinalatus"	4.96667	117.08333	"Mammalia"
"1194"	"Rattus argentiventer"	-3.41667	114.41667	"Mammalia"
"1195"	"Rattus argentiventer"	-3.41667	114.41667	"Mammalia"
"1196"	"Rattus argentiventer"	-3.41667	114.41667	"Mammalia"
"1197"	"Rattus argentiventer"	-3.41667	114.41667	"Mammalia"
"1198"	"Rattus argentiventer"	-3.41667	114.41667	"Mammalia"
"1199"	"Rattus argentiventer"	-3.41667	114.41667	"Mammalia"
"1200"	"Rattus argentiventer"	-3.41667	114.41667	"Mammalia"
"1201"	"Rattus argentiventer"	-3.41667	114.41667	"Mammalia"
"1202"	"Rattus argentiventer"	-3.36667	114.66667	"Mammalia"
"1203"	"Rattus argentiventer"	-3.36667	114.66667	"Mammalia"
"1204"	"Rattus argentiventer"	-3.3	114.71667	"Mammalia"
"1205"	"Rattus argentiventer"	-3.3	114.71667	"Mammalia"
"1206"	"Rattus argentiventer"	-3.3	114.71667	"Mammalia"
"1207"	"Rattus argentiventer"	-3.3	114.71667	"Mammalia"
"1208"	"Rattus argentiventer"	-3.3	114.71667	"Mammalia"
"1209"	"Rattus argentiventer"	-3.3	114.71667	"Mammalia"
"1210"	"Rattus rattus"	-3.4	114.7	"Mammalia"
"1211"	"Rattus argentiventer"	-3.36667	114.66667	"Mammalia"
"1212"	"Cynopterus brachyotis"	-0.43333	117.09167	"Mammalia"
"1213"	"Macroglossus minimus"	4.93333	114.96667	"Mammalia"
"1214"	"Macroglossus minimus"	4.93333	114.96667	"Mammalia"
"1215"	"Macroglossus minimus"	4.93333	114.96667	"Mammalia"
"1216"	"Balionycteris maculata"	4.93333	114.96667	"Mammalia"
"1217"	"Balionycteris maculata"	4.93333	114.96667	"Mammalia"
"1218"	"Cynopterus brachyotis"	4.93333	114.96667	"Mammalia"
"1219"	"Cynopterus brachyotis"	4.93333	114.96667	"Mammalia"
"1220"	"Cynopterus brachyotis"	4.93333	114.96667	"Mammalia"
"1221"	"Cynopterus brachyotis"	4.93333	114.96667	"Mammalia"
"1222"	"Cynopterus minutus"	4.93333	114.96667	"Mammalia"
"1223"	"Cynopterus minutus"	4.93333	114.96667	"Mammalia"
"1224"	"Cynopterus minutus"	4.93333	114.96667	"Mammalia"
"1225"	"Cynopterus brachyotis"	4.93333	114.96667	"Mammalia"
"1226"	"Cynopterus brachyotis"	4.93333	114.96667	"Mammalia"
"1227"	"Cynopterus brachyotis"	4.93333	114.96667	"Mammalia"
"1228"	"Cynopterus minutus"	4.93333	114.96667	"Mammalia"
"1229"	"Cynopterus brachyotis"	4.93333	114.96667	"Mammalia"
"1230"	"Taphozous melanopogon"	6.70120700029339	116.979526850433	"Mammalia"
"1231"	"Sundasciurus jentinki"	3.63333	115.51667	"Mammalia"
"1232"	"Ratufa affinis"	3.7	114.43333	"Mammalia"
"1233"	"Prionailurus bengalensis"	3.75	115.51667	"Mammalia"
"1234"	"Hemigalus derbyanus"	3.75	115.51667	"Mammalia"
"1235"	"Sousa chinensis"	1.71667	110.3	"Mammalia"
"1236"	"Nycticebus coucang"	3.63333	115.51667	"Mammalia"
"1237"	"Hylobates funereus"	2.7	114.65	"Mammalia"
"1238"	"Sundasciurus brookei"	2.85	114.85	"Mammalia"
"1239"	"Callosciurus orestes"	2.85	114.85	"Mammalia"
"1240"	"Dremomys everetti"	2.85	114.85	"Mammalia"
"1241"	"Rattus baluensis"	6.08333	116.55	"Mammalia"
"1242"	"Callosciurus prevostii"	4.41667	117.48333	"Mammalia"
"1243"	"Ratufa affinis"	4.41667	117.48333	"Mammalia"
"1244"	"Ratufa affinis"	4.41667	117.48333	"Mammalia"
"1245"	"Tragulus napu"	4.41667	117.48333	"Mammalia"
"1246"	"Callosciurus prevostii"	2.85	114.85	"Mammalia"
"1247"	"Callosciurus prevostii"	2.85	114.85	"Mammalia"
"1248"	"Rattus exulans"	3.75	115.45	"Mammalia"
"1249"	"Niviventer cremoriventer"	3.75	115.45	"Mammalia"
"1250"	"Niviventer cremoriventer"	3.75	115.45	"Mammalia"
"1251"	"Chrotomys whiteheadi"	3.75	115.45	"Mammalia"
"1252"	"Tupaia glis"	3.75	115.45	"Mammalia"
"1253"	"Callosciurus notatus"	3.75	115.45	"Mammalia"
"1254"	"Viverra tangalunga"	2.68333	114.51667	"Mammalia"
"1255"	"Cynopterus brachyotis"	4.56667	114.71667	"Mammalia"
"1256"	"Rhinolophus trifoliatus"	4.85	115.4	"Mammalia"
"1257"	"Sundasciurus hippurus"	4.58333	113.98333	"Mammalia"
"1258"	"Tragulus javanicus"	5.83333	118.23333	"Mammalia"
"1259"	"Tragulus javanicus"	5.83333	118.23333	"Mammalia"
"1260"	"Tupaia picta"	4.58333	113.98333	"Mammalia"
"1261"	"Nasalis larvatus"	5.15	118.38333	"Mammalia"
"1262"	"Presbytis rubicunda"	5.53333	118.55	"Mammalia"
"1263"	"Presbytis rubicunda"	5.53333	118.55	"Mammalia"
"1264"	"Macaca fascicularis"	5.53333	118.55	"Mammalia"
"1265"	"Hemigalus derbyanus"	5.58333	118.06667	"Mammalia"
"1266"	"Aonyx cinereus"	3.75	115.45	"Mammalia"
"1267"	"Tupaia minor"	5.58333	118.06667	"Mammalia"
"1268"	"Ptilocercus lowii"	5.58333	118.06667	"Mammalia"
"1269"	"Cephalopachus bancanus"	5.58333	118.06667	"Mammalia"
"1270"	"Tupaia minor"	5.58333	118.06667	"Mammalia"
"1271"	"Exilisciurus exilis"	5.53333	118.55	"Mammalia"
"1272"	"Sundasciurus hippurus"	5.53333	118.55	"Mammalia"
"1273"	"Callosciurus prevostii"	5.58333	118.06667	"Mammalia"
"1274"	"Lariscus hosei"	5.58333	118.06667	"Mammalia"
"1275"	"Sundamys muelleri"	5.53333	118.55	"Mammalia"
"1276"	"Hipposideros cervinus"	5.86667	118.11667	"Mammalia"
"1277"	"Myotis macrotarsus"	4.46667	118.6	"Mammalia"
"1278"	"Rattus tiomanicus"	1.48333	110.33333	"Mammalia"
"1279"	"Sundamys muelleri"	1.48333	110.33333	"Mammalia"
"1280"	"Sundamys muelleri"	1.48333	110.33333	"Mammalia"
"1281"	"Sundamys muelleri"	1.48333	110.33333	"Mammalia"
"1282"	"Sundamys muelleri"	1.48333	110.33333	"Mammalia"
"1283"	"Niviventer cremoriventer"	1.48333	110.33333	"Mammalia"
"1284"	"Chrotomys whiteheadi"	1.48333	110.33333	"Mammalia"
"1285"	"Rattus exulans"	1.48333	110.33333	"Mammalia"
"1286"	"Nasalis larvatus"	1	114	"Mammalia"
"1287"	"Cynopterus brachyotis"	-1.25	111.8	"Mammalia"
"1288"	"Emballonura alecto"	-2.1	116.41666	"Mammalia"
"1289"	"Maxomys surifer"	-2.73333	110.1	"Mammalia"
"1290"	"Maxomys surifer"	-2.73333	110.1	"Mammalia"
"1291"	"Dremomys everetti"	6.08333	116.55	"Mammalia"
"1292"	"Rattus baluensis"	6.08333	116.55	"Mammalia"
"1293"	"Penthetor lucasi"	3.21667	114.41667	"Mammalia"
"1294"	"Cynopterus brachyotis"	6.05	116.8	"Mammalia"
"1295"	"Sundasciurus tenuis"	1.71667	111.8	"Mammalia"
"1296"	"Macroglossus minimus"	6.16667	116.23333	"Mammalia"
"1297"	"Paradoxurus hermaphroditus"	5.58333	118.06667	"Mammalia"
"1298"	"Sundasciurus brookei"	2.85	114.85	"Mammalia"
"1299"	"Cephalopachus bancanus"	5.58333	118.06667	"Mammalia"
"1300"	"Maxomys surifer"	6.05	116.8	"Mammalia"
"1301"	"Chrotomys whiteheadi"	6.05	116.8	"Mammalia"
"1302"	"Hylomys suillus"	6.08333	116.55	"Mammalia"
"1303"	""	2.5	113.5	"Mammalia"
"1304"	""	2.5	113.5	"Mammalia"
"1305"	"Rattus tiomanicus"	-2.63333	115.41666	"Mammalia"
"1306"	"Tupaia montana"	2.5	113.5	"Mammalia"
"1307"	"Cynopterus brachyotis"	-1.05	110.11667	"Mammalia"
"1308"	"Nasalis larvatus"	5.83902	117.79446	"Mammalia"
"1309"	"Tupaia tana"	4.41	118.01	"Mammalia"
"1310"	"Pongo pygmaeus"	-2.66877	111.85647	"Mammalia"
"1311"	"Maxomys rajah"	2.85	115.8	"Mammalia"
"1312"	"Exilisciurus exilis"	2.67	115.62	"Mammalia"
"1313"	"Leopoldamys sabanus"	2.67	115.62	"Mammalia"
"1314"	"Maxomys rajah"	2.85	115.8	"Mammalia"
"1315"	"Maxomys surifer"	2.67	115.62	"Mammalia"
"1316"	"Balionycteris maculata"	2.85	115.8	"Mammalia"
"1317"	"Cynopterus horsfieldii"	5.533	118.067	"Mammalia"
"1318"	"Hipposideros cervinus"	5.533	118.067	"Mammalia"
"1319"	"Hipposideros diadema"	5.533	118.067	"Mammalia"
"1320"	"Macroglossus minimus"	-0.833	117	"Mammalia"
"1321"	"Murina suilla"	4.717	118.15	"Mammalia"
"1322"	"Penthetor lucasi"	2.667	115.617	"Mammalia"
"1323"	"Penthetor lucasi"	2.667	115.617	"Mammalia"
"1324"	"Rhinolophus acuminatus"	5.083	118.667	"Mammalia"
"1325"	"Rhinolophus borneensis"	5.083	118.667	"Mammalia"
"1326"	"Pongo pygmaeus"	-1.21333	110.09533	"Mammalia"
"1327"	"Hylobates albibarbis"	-1.30417	110.23222	"Mammalia"
"1328"	"Pongo pygmaeus"	-1.21333	110.09533	"Mammalia"
"1329"	"Callosciurus prevostii"	-1.21333	110.09533	"Mammalia"
"1330"	"Presbytis rubicunda"	4.45387	117.94833	"Mammalia"
"1331"	"Pongo pygmaeus"	-1.21333	110.09533	"Mammalia"
"1332"	"Pongo pygmaeus"	-1.21333	110.09533	"Mammalia"
"1333"	"Pongo pygmaeus"	-1.21333	110.09533	"Mammalia"
"1334"	"Pongo pygmaeus"	-1.21333	110.09533	"Mammalia"
"1335"	"Pongo pygmaeus"	-0.99917	110.29306	"Mammalia"
"1336"	"Callosciurus prevostii"	-1.21333	110.09533	"Mammalia"
"1337"	"Macaca fascicularis"	-1.21333	110.09533	"Mammalia"
"1338"	"Pongo pygmaeus"	-1.21333	110.09533	"Mammalia"
"1339"	"Pongo pygmaeus"	-1.21333	110.09533	"Mammalia"
"1340"	"Pongo pygmaeus"	-1.21333	110.09533	"Mammalia"
"1341"	"Pongo pygmaeus"	-1.21333	110.09533	"Mammalia"
"1342"	"Pongo pygmaeus"	-1.21333	110.09533	"Mammalia"
"1343"	"Tupaia tana"	1	114	"Mammalia"
"1344"	"Macroglossus minimus"	2.15	111.61667	"Mammalia"
"1345"	"Hipposideros cervinus"	5.51667	118.06667	"Mammalia"
"1346"	"Hipposideros cervinus"	5.51667	118.06667	"Mammalia"
"1347"	"Hipposideros cervinus"	5.51667	118.06667	"Mammalia"
"1348"	"Cynopterus brachyotis"	5.98333	116.53333	"Mammalia"
"1349"	"Cynopterus brachyotis"	6.2	116.2	"Mammalia"
"1350"	"Cynopterus brachyotis"	6.2	116.2	"Mammalia"
"1351"	"Cynopterus brachyotis"	2.65333	113.0515	"Mammalia"
"1352"	"Rhinolophus borneensis"	2.6533	113.0514	"Mammalia"
"1353"	"Balionycteris maculata"	2.6533	113.0514	"Mammalia"
"1354"	"Niviventer cremoriventer"	2.6533	113.0514	"Mammalia"
"1355"	"Miniopterus australis"	2.6533	113.0514	"Mammalia"
"1356"	"Cynopterus brachyotis"	2.65333	113.0515	"Mammalia"
"1357"	"Rhinolophus borneensis"	2.65333	113.0515	"Mammalia"
"1358"	"Hipposideros bicolor"	2.6533	113.0514	"Mammalia"
"1359"	"Rhinolophus borneensis"	2.6533	113.0514	"Mammalia"
"1360"	"Hipposideros diadema"	2.65333	113.0515	"Mammalia"
"1361"	"Myotis horsfieldii"	2.6533	113.0514	"Mammalia"
"1362"	"Hipposideros bicolor"	2.6533	113.0514	"Mammalia"
"1363"	"Hipposideros bicolor"	2.6533	113.0514	"Mammalia"
"1364"	"Nycteris javanica"	2.65333	113.0515	"Mammalia"
"1365"	"Penthetor lucasi"	2.6533	113.0514	"Mammalia"
"1366"	"Miniopterus schreibersii"	6.08333	116.55	"Mammalia"
"1367"	"Exilisciurus whiteheadi"	3.63333	115.51667	"Mammalia"
"1368"	"Hylopetes sagitta"	3.45	115.21667	"Mammalia"
"1369"	"Niviventer cremoriventer"	6.16667	116.23333	"Mammalia"
"1370"	"Rattus rattus"	3.63333	115.51667	"Mammalia"
"1371"	"Rattus tiomanicus"	3.63333	115.51667	"Mammalia"
"1372"	"Sundasciurus brookei"	2.85	114.85	"Mammalia"
"1373"	"Tupaia montana"	6.08333	116.55	"Mammalia"
"1374"	"Tupaia montana"	6.08333	116.55	"Mammalia"
"1375"	"Tupaia montana"	6.08333	116.55	"Mammalia"
"1376"	"Tragulus javanicus"	4.41667	117.48333	"Mammalia"
"1377"	"Maxomys rajah"	4.41667	117.48333	"Mammalia"
"1378"	"Rattus rattus"	3.75	115.45	"Mammalia"
"1379"	"Dremomys everetti"	6.06667	116.56667	"Mammalia"
"1380"	"Tragulus javanicus"	5.28333	117.55	"Mammalia"
"1381"	"Hemigalus derbyanus"	5.28333	117.55	"Mammalia"
"1382"	"Tupaia tana"	3.75	115.45	"Mammalia"
"1383"	"Tupaia glis"	3.75	115.45	"Mammalia"
"1384"	"Callosciurus notatus"	3.75	115.45	"Mammalia"
"1385"	"Mustela nudipes"	3.75	115.45	"Mammalia"
"1386"	"Niviventer rapit"	3.75	115.45	"Mammalia"
"1387"	"Tupaia montana"	3.75	115.45	"Mammalia"
"1388"	"Sundamys muelleri"	6.16667	116.23333	"Mammalia"
"1389"	"Tupaia minor"	3.58333	115.53333	"Mammalia"
"1390"	"Penthetor lucasi"	1	114	"Mammalia"
"1391"	"Hylobates muelleri"	2.5	113.5	"Mammalia"
"1392"	"Taphozous longimanus"	6.56667	116.8	"Mammalia"
"1393"	"Tupaia montana"	6.08333	116.55	"Mammalia"
"1394"	"Callosciurus notatus"	5.83333	118.11667	"Mammalia"
"1395"	"Callosciurus notatus"	5.83333	118.11667	"Mammalia"
"1396"	"Rattus exulans"	5.83333	118.11667	"Mammalia"
"1397"	"Presbytis rubicunda"	5.83333	118.23333	"Mammalia"
"1398"	"Maxomys alticola"	6.08333	116.55	"Mammalia"
"1399"	"Exilisciurus exilis"	3.16667	113.03333	"Mammalia"
"1400"	"Taphozous melanopogon"	5.88333	118.13333	"Mammalia"
"1401"	"Nasalis larvatus"	6.88333	117.03333	"Mammalia"
"1402"	"Trachypithecus cristatus"	5.53333	118.55	"Mammalia"
"1403"	"Ratufa affinis"	5.58333	118.06667	"Mammalia"
"1404"	"Dremomys everetti"	3.75	115.45	"Mammalia"
"1405"	"Tupaia tana"	5.58333	118.06667	"Mammalia"
"1406"	"Tupaia glis"	5.53333	118.55	"Mammalia"
"1407"	"Exilisciurus exilis"	5.53333	118.55	"Mammalia"
"1408"	"Sundasciurus lowii"	5.58333	118.06667	"Mammalia"
"1409"	"Tupaia tana"	5.58333	118.06667	"Mammalia"
"1410"	"Sundasciurus hippurus"	5.58333	118.06667	"Mammalia"
"1411"	"Callosciurus prevostii"	5.53333	118.55	"Mammalia"
"1412"	"Callosciurus prevostii"	5.58333	118.06667	"Mammalia"
"1413"	"Callosciurus notatus"	5.83333	118.11667	"Mammalia"
"1414"	"Callosciurus notatus"	5.53333	118.55	"Mammalia"
"1415"	"Callosciurus notatus"	5.58333	118.06667	"Mammalia"
"1416"	"Emballonura monticola"	5.58333	118.06667	"Mammalia"
"1417"	"Emballonura monticola"	5.58333	118.06667	"Mammalia"
"1418"	"Callosciurus notatus"	1.48333	110.33333	"Mammalia"
"1419"	"Callosciurus notatus"	1.48333	110.33333	"Mammalia"
"1420"	"Callosciurus notatus"	1.48333	110.33333	"Mammalia"
"1421"	"Callosciurus notatus"	1.48333	110.33333	"Mammalia"
"1422"	"Niviventer cremoriventer"	1.48333	110.33333	"Mammalia"
"1423"	"Callosciurus prevostii"	-0.41667	109.66666	"Mammalia"
"1424"	"Maxomys surifer"	6.16667	116.23333	"Mammalia"
"1425"	"Dremomys everetti"	6.08333	116.55	"Mammalia"
"1426"	"Rattus baluensis"	6.08333	116.55	"Mammalia"
"1427"	"Presbytis rubicunda"	2.85	114.85	"Mammalia"
"1428"	"Sundasciurus hippurus"	3.31667	114.78333	"Mammalia"
"1429"	"Leopoldamys sabanus"	6.08333	116.55	"Mammalia"
"1430"	"Rattus baluensis"	6.08333	116.55	"Mammalia"
"1431"	"Tupaia minor"	3.45	115.21667	"Mammalia"
"1432"	"Hystrix crassispinis"	3.45	115.21667	"Mammalia"
"1433"	"Macroglossus minimus"	6.05	116.8	"Mammalia"
"1434"	"Maxomys surifer"	6.05	116.8	"Mammalia"
"1435"	"Cynopterus brachyotis"	6.05	116.8	"Mammalia"
"1436"	"Macroglossus minimus"	6.05	116.8	"Mammalia"
"1437"	"Tupaia montana"	5.98333	116.53333	"Mammalia"
"1438"	"Chrotomys whiteheadi"	5.98333	116.53333	"Mammalia"
"1439"	"Rusa unicolor"	5.53333	118.55	"Mammalia"
"1440"	"Muntiacus muntjak"	2.85	114.85	"Mammalia"
"1441"	"Ratufa affinis"	2.85	114.85	"Mammalia"
"1442"	"Muntiacus atherodes"	5.53333	118.55	"Mammalia"
"1443"	"Viverra tangalunga"	5.28333	117.55	"Mammalia"
"1444"	"Macroglossus minimus"	6.05	116.8	"Mammalia"
"1445"	"Dremomys everetti"	6.08333	116.55	"Mammalia"
"1446"	"Maxomys ochraceiventer"	6.05	116.8	"Mammalia"
"1447"	"Dremomys everetti"	6.08333	116.55	"Mammalia"
"1448"	"Pongo pygmaeus"	0	114	"Mammalia"
"1449"	"Hipposideros cineraceus"	4.63333	116.61667	"Mammalia"
"1450"	"Hipposideros galeritus"	5.51667	118.06667	"Mammalia"
"1451"	"Hipposideros cervinus"	4.78333	116.18333	"Mammalia"
"1452"	"Hesperoptenus blanfordi"	5.86667	117.93333	"Mammalia"
"1453"	"Aethalops alecto"	5.46667	116.03333	"Mammalia"
"1454"	"Hipposideros ater"	4.56667	118.41667	"Mammalia"
"1455"	""	5.51667	118.06667	"Mammalia"
"1456"	"Rousettus spinalatus"	4.96667	117.08333	"Mammalia"
"1457"	"Rattus argentiventer"	-3.41667	114.41667	"Mammalia"
"1458"	"Rattus argentiventer"	-3.41667	114.41667	"Mammalia"
"1459"	"Rattus argentiventer"	-3.41667	114.41667	"Mammalia"
"1460"	"Rattus argentiventer"	-3.41667	114.41667	"Mammalia"
"1461"	"Rattus argentiventer"	-3.41667	114.41667	"Mammalia"
"1462"	"Rattus argentiventer"	-3.41667	114.41667	"Mammalia"
"1463"	"Rattus argentiventer"	-3.41667	114.41667	"Mammalia"
"1464"	"Rattus argentiventer"	-3.4	114.7	"Mammalia"
"1465"	"Rattus argentiventer"	-3.3	114.71667	"Mammalia"
"1466"	"Rattus argentiventer"	-3.36667	114.66667	"Mammalia"
"1467"	"Rattus argentiventer"	-3.36667	114.66667	"Mammalia"
"1468"	"Rattus exulans"	-3.36667	114.66667	"Mammalia"
"1469"	"Cynopterus brachyotis"	-0.43333	117.09167	"Mammalia"
"1470"	"Cynopterus brachyotis"	-0.43333	117.09167	"Mammalia"
"1471"	"Cynopterus brachyotis"	-0.43333	117.09167	"Mammalia"
"1472"	"Cynopterus brachyotis"	-0.38333	116.975	"Mammalia"
"1473"	"Glischropus tylopus"	4.93333	114.96667	"Mammalia"
"1474"	"Glischropus tylopus"	4.93333	114.96667	"Mammalia"
"1475"	"Macroglossus minimus"	4.93333	114.96667	"Mammalia"
"1476"	"Macroglossus minimus"	4.93333	114.96667	"Mammalia"
"1477"	"Cynopterus brachyotis"	4.93333	114.96667	"Mammalia"
"1478"	"Cynopterus brachyotis"	4.93333	114.96667	"Mammalia"
"1479"	"Cynopterus minutus"	4.93333	114.96667	"Mammalia"
"1480"	"Cynopterus minutus"	4.93333	114.96667	"Mammalia"
"1481"	"Cynopterus brachyotis"	4.93333	114.96667	"Mammalia"
"1482"	"Cynopterus brachyotis"	4.93333	114.96667	"Mammalia"
"1483"	"Niviventer cremoriventer"	0.9	109.9	"Mammalia"
"1484"	"Rattus exulans"	0.9	109.9	"Mammalia"
"1485"	"Lariscus insignis"	4.58	113.98	"Mammalia"
"1486"	"Manis javanica"	3.00936	113.77358	"Mammalia"
"1487"	"Megaderma spasma"	0	110	"Mammalia"
"1488"	"Pongo pygmaeus"	3.00936	113.77358	"Mammalia"
"1489"	"Presbytis chrysomelas"	4.39359	113.99718	"Mammalia"
"1490"	"Macroglossus minimus"	6.20042	116.75208	"Mammalia"
"1491"	"Glischropus tylopus"	6.20042	116.75208	"Mammalia"
"1492"	"Hipposideros cervinus"	1.71653	110.44442	"Mammalia"
"1493"	"Hipposideros bicolor"	1.71653	110.44442	"Mammalia"
"1494"	"Hipposideros bicolor"	1.71653	110.44442	"Mammalia"
"1495"	"Lariscus insignis"	-1.51667	111.5	"Mammalia"
"1496"	"Echinosorex gymnura"	-1.51667	111.5	"Mammalia"
"1497"	"Callosciurus prevostii"	-1.51667	111.5	"Mammalia"
"1498"	""	-1.51667	111.5	"Mammalia"
"1499"	""	-1.51667	111.5	"Mammalia"
"1500"	""	-1.51667	111.5	"Mammalia"
"1501"	"Nannosciurus melanotis"	-1.51667	111.5	"Mammalia"
"1502"	"Macaca nemestrina"	-1.51667	111.5	"Mammalia"
"1503"	""	-1.51667	111.5	"Mammalia"
"1504"	""	-1.51667	111.5	"Mammalia"
"1505"	"Rattus rattus"	-1.55	112.58333	"Mammalia"
"1506"	"Cynopterus brachyotis"	6.2	116.2	"Mammalia"
"1507"	"Macroglossus minimus"	2.15	111.61667	"Mammalia"
"1508"	"Hipposideros cervinus"	5.51667	118.06667	"Mammalia"
"1509"	"Hipposideros cervinus"	5.51667	118.06667	"Mammalia"
"1510"	"Hipposideros cervinus"	5.51667	118.06667	"Mammalia"
"1511"	"Hipposideros cervinus"	5.51667	118.06667	"Mammalia"
"1512"	"Pongo pygmaeus"	1.56667	110.75	"Mammalia"
"1513"	"Pongo pygmaeus"	1.56667	110.75	"Mammalia"
"1514"	"Myotis gomantongensis"	5.51667	118.06667	"Mammalia"
"1515"	"Petaurista petaurista"	5.16667	118.75	"Mammalia"
"1516"	"Pongo pygmaeus"	5.48597	118.21504	"Mammalia"
"1517"	"Sundasciurus lowii"	4.41667	118.017	"Mammalia"
"1518"	"Macroglossus minimus"	2.65333	113.0515	"Mammalia"
"1519"	"Cynopterus brachyotis"	2.65333	113.0515	"Mammalia"
"1520"	"Crocidura foetida"	2.65333	113.0515	"Mammalia"
"1521"	"Sundasciurus lowii"	6	116.68	"Mammalia"
"1522"	"Cynopterus brachyotis"	-0.92	117	"Mammalia"
"1523"	"Martes flavigula"	6	116.68	"Mammalia"
"1524"	"Megaderma spasma"	-2.63	115.45	"Mammalia"
"1525"	"Penthetor lucasi"	-2.7	115.48	"Mammalia"
"1526"	"Penthetor lucasi"	2.6533	113.0514	"Mammalia"
"1527"	"Penthetor lucasi"	2.6533	113.0514	"Mammalia"
"1528"	"Cynopterus brachyotis"	-2.63	115.45	"Mammalia"
"1529"	"Cynopterus brachyotis"	2.6533	113.0514	"Mammalia"
"1530"	"Tupaia tana"	2.18	117.47	"Mammalia"
"1531"	"Tupaia tana"	1.18	117.92	"Mammalia"
"1532"	"Miniopterus australis"	2.65333	113.0515	"Mammalia"
"1533"	"Miniopterus australis"	2.65333	113.0515	"Mammalia"
"1534"	"Dendrogale melanura"	6.03	116.55	"Mammalia"
"1535"	"Hipposideros bicolor"	2.6533	113.0514	"Mammalia"
"1536"	"Hipposideros bicolor"	2.6533	113.0514	"Mammalia"
"1537"	"Hipposideros bicolor"	2.6533	113.0514	"Mammalia"
"1538"	"Balionycteris maculata"	2.65333	113.0515	"Mammalia"
"1539"	"Balionycteris maculata"	2.6533	113.0514	"Mammalia"
"1540"	"Balionycteris maculata"	2.6533	113.0514	"Mammalia"
"1541"	"Balionycteris maculata"	2.6533	113.0514	"Mammalia"
"1542"	"Hipposideros cervinus"	3.0933	113.6711	"Mammalia"
"1543"	"Hipposideros cervinus"	3.0933	113.6711	"Mammalia"
"1544"	"Hipposideros cervinus"	3.0933	113.6711	"Mammalia"
"1545"	"Sundamys muelleri"	6.02	116.87	"Mammalia"
"1546"	"Sundamys muelleri"	6	116.68	"Mammalia"
"1547"	"Sundamys muelleri"	6	116.68	"Mammalia"
"1548"	"Myotis ater"	2.6533	113.0514	"Mammalia"
"1549"	"Myotis gomantongensis"	2.65333	113.0515	"Mammalia"
"1550"	"Myotis gomantongensis"	2.65333	113.0515	"Mammalia"
"1551"	"Hipposideros diadema"	2.65333	113.0515	"Mammalia"
"1552"	"Hipposideros diadema"	2.65333	113.0515	"Mammalia"
"1553"	"Hipposideros cervinus"	2.65333	113.0515	"Mammalia"
"1554"	"Hipposideros cervinus"	2.65333	113.0515	"Mammalia"
